run,n,thread_no,time
6,32000,4,1.230973
7,32000,4,1.244052
8,32000,4,1.239013
9,32000,4,1.230995
10,32000,4,1.234194
1,32000,8,0.621356
2,32000,8,0.621607
3,32000,8,0.634083
4,32000,8,0.619567
5,32000,8,0.619296
6,32000,8,0.618675
7,32000,8,0.619979
8,32000,8,0.620487
9,32000,8,0.620198
10,32000,8,0.620603
1,32000,16,0.495763
2,32000,16,0.494815
3,32000,16,0.495493
4,32000,16,0.49538
5,32000,16,0.49448
6,32000,16,0.492882
7,32000,16,0.498086
8,32000,16,0.494726
9,32000,16,0.497873
10,32000,16,0.495287
1,32000,24,0.44991
2,32000,24,0.450456
3,32000,24,0.452677
4,32000,24,0.447365
5,32000,24,0.45325
6,32000,24,0.448959
7,32000,24,0.451137
8,32000,24,0.445543
9,32000,24,0.451045
10,32000,24,0.45632
1,48000,1,10.853195
2,48000,1,10.851411
3,48000,1,10.875879
4,48000,1,10.848905
5,48000,1,10.875418
6,48000,1,10.847787
7,48000,1,10.846961
8,48000,1,10.852363
9,48000,1,10.849842
10,48000,1,10.868528
1,48000,2,5.434119
2,48000,2,5.436504
3,48000,2,5.442855
4,48000,2,5.505249
5,48000,2,5.475976
6,48000,2,5.428062
7,48000,2,5.440199
8,48000,2,5.429806
9,48000,2,5.428532
10,48000,2,5.438053
1,48000,4,2.715483
2,48000,4,2.72276
3,48000,4,2.720931
4,48000,4,2.716553
5,48000,4,2.717097
6,48000,4,2.718159
7,48000,4,2.729852
8,48000,4,2.721953
9,48000,4,2.715945
10,48000,4,2.7265
1,48000,8,1.404245
2,48000,8,1.362356
3,48000,8,1.362248
4,48000,8,1.361665
5,48000,8,1.361491
6,48000,8,1.36674
7,48000,8,1.361638
8,48000,8,1.361544
9,48000,8,1.36089
10,48000,8,1.363652
1,48000,16,1.079669
2,48000,16,1.081534
3,48000,16,1.086202
4,48000,16,1.081672
5,48000,16,1.078225
6,48000,16,1.081854
7,48000,16,1.079791
8,48000,16,1.083236
9,48000,16,1.077504
10,48000,16,1.079362
1,48000,24,0.991694
2,48000,24,0.991216
3,48000,24,0.984879
4,48000,24,0.985412
5,48000,24,0.990094
6,48000,24,0.986695
7,48000,24,0.996534
8,48000,24,0.987958
9,48000,24,0.997287
10,48000,24,0.990478
