run,res,thread_no,omp_schedule,time,speedup,efficiency
8,1000,4,dynamic,813.0,,
9,1000,4,dynamic,809.0,,
10,1000,4,dynamic,820.0,,
1,1000,4,static,1326.0,,
2,1000,4,static,1322.0,,
3,1000,4,static,1330.0,,
4,1000,4,static,1320.0,,
5,1000,4,static,1321.0,,
6,1000,4,static,1325.0,,
7,1000,4,static,1325.0,,
8,1000,4,static,1321.0,,
9,1000,4,static,1320.0,,
10,1000,4,static,1320.0,,
1,1500,4,dynamic,1818.0,,
2,1500,4,dynamic,1822.0,,
3,1500,4,dynamic,1841.0,,
4,1500,4,dynamic,1822.0,,
5,1500,4,dynamic,1816.0,,
6,1500,4,dynamic,1813.0,,
7,1500,4,dynamic,1815.0,,
8,1500,4,dynamic,1816.0,,
9,1500,4,dynamic,1818.0,,
10,1500,4,dynamic,1823.0,,
1,1500,4,static,2937.0,,
2,1500,4,static,2979.0,,
3,1500,4,static,2979.0,,
4,1500,4,static,2938.0,,
5,1500,4,static,2980.0,,
6,1500,4,static,2967.0,,
7,1500,4,static,2938.0,,
8,1500,4,static,2938.0,,
9,1500,4,static,2937.0,,
10,1500,4,static,2938.0,,
1,2000,4,dynamic,3229.0,,
2,2000,4,dynamic,3261.0,,
3,2000,4,dynamic,3241.0,,
4,2000,4,dynamic,3240.0,,
5,2000,4,dynamic,3240.0,,
6,2000,4,dynamic,3241.0,,
7,2000,4,dynamic,3238.0,,
8,2000,4,dynamic,3281.0,,
9,2000,4,dynamic,3240.0,,
10,2000,4,dynamic,3226.0,,
1,2000,4,static,5313.0,,
2,2000,4,static,5262.0,,
3,2000,4,static,5267.0,,
4,2000,4,static,5315.0,,
5,2000,4,static,5261.0,,
6,2000,4,static,5259.0,,
7,2000,4,static,5321.0,,
8,2000,4,static,5260.0,,
9,2000,4,static,5259.0,,
10,2000,4,static,5268.0,,
1,500,8,dynamic,106.0,,
2,500,8,dynamic,106.0,,
3,500,8,dynamic,105.0,,
4,500,8,dynamic,104.0,,
5,500,8,dynamic,104.0,,
6,500,8,dynamic,104.0,,
7,500,8,dynamic,104.0,,
8,500,8,dynamic,104.0,,
9,500,8,dynamic,107.0,,
10,500,8,dynamic,105.0,,
1,500,8,static,208.0,,
2,500,8,static,203.0,,
3,500,8,static,203.0,,
4,500,8,static,202.0,,
5,500,8,static,206.0,,
6,500,8,static,210.0,,
7,500,8,static,202.0,,
8,500,8,static,203.0,,
9,500,8,static,202.0,,
10,500,8,static,205.0,,
1,1000,8,dynamic,417.0,,
2,1000,8,dynamic,409.0,,
3,1000,8,dynamic,427.0,,
4,1000,8,dynamic,410.0,,
5,1000,8,dynamic,408.0,,
6,1000,8,dynamic,407.0,,
7,1000,8,dynamic,407.0,,
8,1000,8,dynamic,413.0,,
9,1000,8,dynamic,408.0,,
10,1000,8,dynamic,411.0,,
1,1000,8,static,800.0,,
2,1000,8,static,799.0,,
3,1000,8,static,803.0,,
4,1000,8,static,800.0,,
5,1000,8,static,808.0,,
6,1000,8,static,800.0,,
7,1000,8,static,799.0,,
8,1000,8,static,799.0,,
9,1000,8,static,799.0,,
10,1000,8,static,800.0,,
1,1500,8,dynamic,912.0,,
2,1500,8,dynamic,912.0,,
3,1500,8,dynamic,915.0,,
4,1500,8,dynamic,935.0,,
5,1500,8,dynamic,913.0,,
6,1500,8,dynamic,918.0,,
7,1500,8,dynamic,922.0,,
8,1500,8,dynamic,911.0,,
9,1500,8,dynamic,911.0,,
10,1500,8,dynamic,917.0,,
1,1500,8,static,1808.0,,
2,1500,8,static,1776.0,,
3,1500,8,static,1776.0,,
4,1500,8,static,1778.0,,
5,1500,8,static,1778.0,,
6,1500,8,static,1776.0,,
7,1500,8,static,1779.0,,
8,1500,8,static,1776.0,,
9,1500,8,static,1778.0,,
10,1500,8,static,1779.0,,
1,2000,8,dynamic,1619.0,,
2,2000,8,dynamic,1620.0,,
3,2000,8,dynamic,1665.0,,
4,2000,8,dynamic,1625.0,,
5,2000,8,dynamic,1627.0,,
6,2000,8,dynamic,1622.0,,
7,2000,8,dynamic,1634.0,,
8,2000,8,dynamic,1650.0,,
9,2000,8,dynamic,1620.0,,
10,2000,8,dynamic,1619.0,,
1,2000,8,static,3180.0,,
2,2000,8,static,3178.0,,
3,2000,8,static,3213.0,,
4,2000,8,static,3261.0,,
5,2000,8,static,3183.0,,
6,2000,8,static,3184.0,,
7,2000,8,static,3217.0,,
8,2000,8,static,3214.0,,
9,2000,8,static,3215.0,,
10,2000,8,static,3218.0,,
1,500,16,dynamic,67.0,,
2,500,16,dynamic,68.0,,
3,500,16,dynamic,67.0,,
4,500,16,dynamic,68.0,,
5,500,16,dynamic,67.0,,
6,500,16,dynamic,67.0,,
7,500,16,dynamic,67.0,,
8,500,16,dynamic,66.0,,
9,500,16,dynamic,69.0,,
10,500,16,dynamic,68.0,,
1,500,16,static,121.0,,
2,500,16,static,115.0,,
3,500,16,static,131.0,,
4,500,16,static,131.0,,
5,500,16,static,141.0,,
6,500,16,static,119.0,,
7,500,16,static,123.0,,
8,500,16,static,139.0,,
9,500,16,static,139.0,,
10,500,16,static,125.0,,
1,1000,16,dynamic,256.0,,
2,1000,16,dynamic,256.0,,
3,1000,16,dynamic,258.0,,
4,1000,16,dynamic,253.0,,
5,1000,16,dynamic,252.0,,
6,1000,16,dynamic,257.0,,
7,1000,16,dynamic,266.0,,
8,1000,16,dynamic,254.0,,
9,1000,16,dynamic,261.0,,
10,1000,16,dynamic,259.0,,
1,1000,16,static,466.0,,
2,1000,16,static,453.0,,
3,1000,16,static,496.0,,
4,1000,16,static,447.0,,
5,1000,16,static,483.0,,
6,1000,16,static,481.0,,
7,1000,16,static,484.0,,
8,1000,16,static,550.0,,
9,1000,16,static,571.0,,
10,1000,16,static,641.0,,
1,1500,16,dynamic,563.0,,
2,1500,16,dynamic,563.0,,
3,1500,16,dynamic,563.0,,
4,1500,16,dynamic,564.0,,
5,1500,16,dynamic,562.0,,
6,1500,16,dynamic,562.0,,
7,1500,16,dynamic,563.0,,
8,1500,16,dynamic,563.0,,
9,1500,16,dynamic,562.0,,
10,1500,16,dynamic,564.0,,
1,1500,16,static,1053.0,,
2,1500,16,static,1072.0,,
3,1500,16,static,1025.0,,
4,1500,16,static,1680.0,,
5,1500,16,static,963.0,,
6,1500,16,static,1009.0,,
7,1500,16,static,1084.0,,
8,1500,16,static,1087.0,,
9,1500,16,static,1179.0,,
10,1500,16,static,967.0,,
1,2000,16,dynamic,997.0,,
